DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > -100.0%, > 100,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > 0.0%, > 100,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > 0.001%, > 100,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > 0.001%, > 100,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > 0.0%, > 10,119,-999,0,0,1,157,1,1,9,1,1,17.444444444444444444444444,-999,25,1,83,13,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
bearb1, > 1.0%, > 1.0,1289,1,1,137,1,6123,1,1,66,1,1,92.772727272727272727272727,1,719,1,3709,21,
bearb1, > -100.0%, > 10,54,-999,0,0,1,83,1,1,9,1,1,9.222222222222222222222222,-999,15,1,83,6,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
000001, > 1.0%, > 1.0,2966,1,1,135,1,6189,1,1,66,1,1,93.772727272727272727272727,1,720,1,3393,22,
000001, > -100.0%, > 10,119,-999,0,0,1,157,1,1,9,1,1,17.444444444444444444444444,-999,25,1,83,13,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
bearb1, > 1.0%, > 1.0,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
bearb1, > -100.0%, > 10,0,-999,0,0,-999,0,-999,0,0,0,-999,0,-999,-999,-999,0,-999,
DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
bearb1, > 1.0%, > 1.0,1289,1,1,137,1,6123,1,1,66,1,1,92.772727272727272727272727,1,719,1,3709,21,
bearb1, > -100.0%, > 10,54,-999,0,0,1,83,1,1,9,1,1,9.222222222222222222222222,-999,15,1,83,6,
